label,sms,char_count,word_count,has_number,has_currency,exclamation_count,processed_sms,label_num
spam,A link to your picture has been sent. You can also use http://alto18.co.uk/wave/wave.asp?o=44345,96,13,1,0,0,link pictur sent also use httpaltocoukwavewaveaspo,1
ham,Hello beautiful r u ok? I've kinda ad a row wiv and he walked out the pub?? I wanted a night wiv u Miss u ,106,25,0,0,0,hello beauti r u ok ive kinda ad row wiv walk pub want night wiv u miss u,0
ham,Were somewhere on Fredericksburg,32,4,0,0,0,somewher fredericksburg,0
ham,Missing you too.pray inshah allah,33,5,0,0,0,miss toopray inshah allah,0
ham,You best watch what you say cause I get drunk as a motherfucker,63,13,0,0,0,best watch say caus get drunk motherfuck,0
ham,Ok . . now i am in bus. . If i come soon i will come otherwise tomorrow,71,18,0,0,0,ok bu come soon come otherwis tomorrow,0
ham,"Sir, I am waiting for your mail.",32,7,0,0,0,sir wait mail,0
ham,Hey i've booked the pilates and yoga lesson already... Haha,59,10,0,0,0,hey ive book pilat yoga lesson alreadi haha,0
ham,"Ya ok, vikky vl c witin  &lt;#&gt; mins and il reply u..",56,12,0,0,0,ya ok vikki vl c witin ltgt min il repli u,0
ham,Then. You are eldest know.,26,5,0,0,0,eldest know,0
ham,What he said is not the matter. My mind saying some other matter is there.,74,15,0,0,0,said matter mind say matter,0
ham,Have you always been saying welp?,33,6,0,0,0,alway say welp,0
ham,Yupz... I've oredi booked slots 4 my weekends liao... ,54,9,1,0,0,yupz ive oredi book slot weekend liao,0
ham,"(And my man carlos is definitely coming by mu tonight, no excuses)",66,12,0,0,0,man carlo definit come mu tonight excus,0
ham,"I can. But it will tell quite long, cos i haven't finish my film yet...",71,15,0,0,0,tell quit long co havent finish film yet,0
ham,Have you not finished work yet or something?,44,8,0,0,0,finish work yet someth,0
ham,Ay wana meet on sat?ü wkg on sat?,33,8,0,0,0,ay wana meet sat wkg sat,0
spam,network operator. The service is free. For T & C's visit 80488.biz,66,12,1,1,0,network oper servic free cs visit biz,1
ham,"Hmmm ... I thought we said 2 hours slave, not 3 ... You are late ... How should I punish you ?",94,22,1,0,0,hmmm thought said hour slave late punish,0
ham,Hello. Damn this christmas thing. I think i have decided to keep this mp3 that doesnt work.,91,17,1,0,0,hello damn christma thing think decid keep mp doesnt work,0
spam,Double your mins & txts on Orange or 1/2 price linerental - Motorola and SonyEricsson with B/Tooth FREE-Nokia FREE Call MobileUpd8 on 08000839402 or2optout/HV9D,160,24,1,1,0,doubl min txt orang price linerent motorola sonyericsson btooth freenokia free call mobileupd oroptouthvd,1
ham,"Can you please ask macho what his price range is, does he want something new or used plus it he only interfued in the blackberry bold  &lt;#&gt;  or any bb",155,30,0,0,0,pleas ask macho price rang want someth new use plu interfu blackberri bold ltgt bb,0
ham,"Hiya , have u been paying money into my account? If so, thanks. Got a pleasant surprise when i checked my balance -u c, i don't get statements 4 that acc",153,31,1,0,0,hiya u pay money account thank got pleasant surpris check balanc u c dont get statement acc,0
ham,"Arngd marriage is while u r walkin unfortuntly a snake bites u. bt love marriage is dancing in frnt of d snake &amp; sayin Bite me, bite me.",140,28,0,0,0,arngd marriag u r walkin unfortuntli snake bite u bt love marriag danc frnt snake amp sayin bite bite,0
ham,Just finished eating. Got u a plate. NOT leftovers this time.,61,11,0,0,0,finish eat got u plate leftov time,0
ham,"Yeah, I'll leave in a couple minutes &amp; let you know when I get to mu",72,16,0,0,0,yeah ill leav coupl minut amp let know get mu,0
ham,"Tick, tick, tick .... Where are you ? I could die of loneliness you know ! *pouts* *stomps feet* I need you ...",111,23,0,0,1,tick tick tick could die loneli know pout stomp feet need,0
ham,If india win or level series means this is record:),51,10,0,0,0,india win level seri mean record,0
ham,"Ya, i'm referin to mei's ex wat... No ah, waitin 4 u to treat, somebody shld b rich liao...So gd, den u dun have to work frm tmr onwards...",139,29,1,0,0,ya im referin mei ex wat ah waitin u treat somebodi shld b rich liaoso gd den u dun work frm tmr onward,0
spam,4mths half price Orange line rental & latest camera phones 4 FREE. Had your phone 11mths+? Call MobilesDirect free on 08000938767 to update now! or2stoptxt T&Cs,160,26,1,1,1,mth half price orang line rental latest camera phone free phone mth call mobilesdirect free updat orstoptxt tc,1
ham,I'm done. C ü there.,20,5,0,0,0,im done c,0
ham,No screaming means shouting..,29,4,0,0,0,scream mean shout,0
spam,"09066362231 URGENT! Your mobile No 07xxxxxxxxx won a £2,000 bonus caller prize on 02/06/03! this is the 2nd attempt to reach YOU! call 09066362231 ASAP!",152,25,1,1,4,urgent mobil xxxxxxxxx bonu caller prize nd attempt reach call asap,1
ham,Hey mr whats the name of that bill brison book the one about language and words ,80,16,0,0,0,hey mr what name bill brison book one languag word,0
spam,Call Germany for only 1 pence per minute! Call from a fixed line via access number 0844 861 85 85. No prepayment. Direct access! www.telediscount.co.uk,151,25,1,0,2,call germani penc per minut call fix line via access number prepay direct access wwwtelediscountcouk,1
ham,Should I head straight there or what,36,7,0,0,0,head straight,0
ham,Why you keeping me away like this,33,7,0,0,0,keep away like,0
ham,Hi darlin im on helens fone im gonna b up the princes 2 nite please come up tb love Kate,88,20,1,0,0,hi darlin im helen fone im gonna b princ nite pleas come tb love kate,0
ham,Get down in gandhipuram and walk to cross cut road. Right side &lt;#&gt; street road and turn at first right.,109,20,0,0,0,get gandhipuram walk cross cut road right side ltgt street road turn first right,0
ham,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,121,26,1,0,0,real u get yo need ticket one jacket im done alreadi use multi,0
spam,"FREE GAME. Get Rayman Golf 4 FREE from the O2 Games Arcade. 1st get UR games settings. Reply POST, then save & activ8. Press 0 key for Arcade. Termsapply",153,29,1,1,0,free game get rayman golf free game arcad st get ur game set repli post save activ press key arcad termsappli,1
spam,We tried to call you re your reply to our sms for a video mobile 750 mins UNLIMITED TEXT free camcorder Reply or call now 08000930705 Del Thurs,143,28,1,1,0,tri call repli sm video mobil min unlimit text free camcord repli call del thur,1
ham,Customer place i will call you,30,6,0,0,0,custom place call,0
ham,Pls accept me for one day. Or am begging you change the number.,63,13,0,0,0,pl accept one day beg chang number,0
ham,Some are lasting as much as 2 hours. You might get lucky.,57,12,1,0,0,last much hour might get lucki,0
ham,Excellent! Wish we were together right now!,43,7,0,0,2,excel wish togeth right,0
ham,"swhrt how u dey,hope ur ok, tot about u 2day.love n miss.take care.",67,13,1,0,0,swhrt u deyhop ur ok tot u daylov n misstak care,0
ham,Bognor it is! Should be splendid at this time of year.,54,11,0,0,1,bognor splendid time year,0
ham,I love ya too but try and budget your money better babe. Gary would freak on me if he knew,90,20,0,0,0,love ya tri budget money better babe gari would freak knew,0
ham,"Now, whats your house # again ? And do you have any beer there ?",64,15,0,0,0,what hous beer,0
ham,Jus finish watching tv... U?,28,5,0,0,0,ju finish watch tv u,0
ham,Just hopeing that wasn‘t too pissed up to remember and has gone off to his sisters or something!,96,18,0,0,1,hope wasnt piss rememb gone sister someth,0
ham,Thank you. I like you as well...,32,7,0,0,0,thank like well,0
ham,Pls speak with me. I wont ask anything other then you friendship.,65,12,0,0,0,pl speak wont ask anyth friendship,0
ham,Hey what are you doing. Y no reply pa..,39,9,0,0,0,hey repli pa,0
ham,Wat uniform? In where get?,26,5,0,0,0,wat uniform get,0
ham,The greatest test of courage on earth is to bear defeat without losing heart....gn tc,85,15,0,0,0,greatest test courag earth bear defeat without lose heartgn tc,0
ham,Dude avatar 3d was imp. At one point i thought there were actually flies in the room and almost tried hittng one as a reflex,124,25,1,0,0,dude avatar imp one point thought actual fli room almost tri hittng one reflex,0
ham,"House-Maid is the murderer, coz the man was murdered on  &lt;#&gt; th January.. As public holiday all govt.instituitions are closed,including post office..",155,22,0,0,0,housemaid murder coz man murder ltgt th januari public holiday govtinstituit closedinclud post offic,0
ham,Hhahhaahahah rofl wtf nig was leonardo in your room or something,64,11,0,0,0,hhahhaahahah rofl wtf nig leonardo room someth,0
ham,She left it very vague. She just said she would inform the person in accounting about the delayed rent and that i should discuss with the housing agency about my renting another place. But checking online now and all places around usc are  &lt;#&gt;  and up,257,46,0,0,0,left vagu said would inform person account delay rent discuss hous agenc rent anoth place check onlin place around usc ltgt,0
spam,PRIVATE! Your 2003 Account Statement for 078,44,7,1,0,1,privat account statement,1
ham,Boo I'm on my way to my moms. She's making tortilla soup. Yummmm,64,13,0,0,0,boo im way mom she make tortilla soup yummmm,0
ham,Yup... How ü noe leh...,23,5,0,0,0,yup noe leh,0
spam,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,144,20,1,0,1,privat account statement show unredeem bonu point claim call identifi code expir,1
ham,"Do 1 thing! Change that sentence into: ""Because i want 2 concentrate in my educational career im leaving here..""",112,19,1,0,1,thing chang sentenc want concentr educ career im leav,0
ham,hiya hows it going in sunny africa? hope u r avin a good time. give that big old silver back a big kiss from me.,112,25,0,0,0,hiya how go sunni africa hope u r avin good time give big old silver back big kiss,0
ham,"Better than bb. If he wont use it, his wife will or them doctor",63,14,0,0,0,better bb wont use wife doctor,0
ham,Sorry. You never hear unless you book it. One was kinda a joke--thet were really looking for skinny white girls. The other was one line--you can only do so much on camera with that. Something like that they're casting on the look.,230,42,0,0,0,sorri never hear unless book one kinda jokethet realli look skinni white girl one liney much camera someth like theyr cast look,0
ham,Anything lor... U decide...,27,4,0,0,0,anyth lor u decid,0
ham,You need to get up. Now.,24,6,0,0,0,need get,0
ham,Done it but internet connection v slow and can‘t send it. Will try again later or first thing tomo.,99,19,0,0,0,done internet connect v slow cant send tri later first thing tomo,0
ham,You didn't have to tell me that...now i'm thinking. Plus he's going to stop all your runs,89,17,0,0,0,didnt tell thatnow im think plu he go stop run,0
ham,"Dear, will call Tmorrow.pls accomodate.",39,5,0,0,0,dear call tmorrowpl accomod,0
ham,Why must we sit around and wait for summer days to celebrate. Such a magical sight when the worlds dressed in white. Oooooh let there be snow.,142,27,0,0,0,must sit around wait summer day celebr magic sight world dress white oooooh let snow,0
ham,"Science tells that chocolate will melt under the sunlight. Please don't walk under the sunlight. BCoz,I don't want to loss a sweet friend.",138,23,0,0,0,scienc tell chocol melt sunlight pleas dont walk sunlight bcozi dont want loss sweet friend,0
ham,"I'll text carlos and let you know, hang on",42,9,0,0,0,ill text carlo let know hang,0
ham,"(No promises on when though, haven't even gotten dinner yet)",60,10,0,0,0,promis though havent even gotten dinner yet,0
spam,You have an important customer service announcement from PREMIER. Call FREEPHONE 0800 542 0578 now!,99,15,1,0,1,import custom servic announc premier call freephon,1
ham,I‘m going to try for 2 months ha ha only joking,47,11,1,0,0,im go tri month ha ha joke,0
ham,Hi im having the most relaxing time ever! we have to get up at 7am every day! was the party good the other night? I get home tomorrow at 5ish.,142,30,1,0,2,hi im relax time ever get everi day parti good night get home tomorrow ish,0
ham,Doing project w frens lor. ,27,5,0,0,0,project w fren lor,0
ham,Din i tell u jus now 420,24,7,1,0,0,din tell u ju,0
ham,After completed degree. There is no use in joining finance.,59,10,0,0,0,complet degre use join financ,0
ham,I hope you arnt pissed off but id would really like to see you tomorrow. Love me xxxxxxxxxxxxxX,95,18,0,0,0,hope arnt piss id would realli like see tomorrow love xxxxxxxxxxxxxx,0
spam,"Thanks for your ringtone order, reference number X49. Your mobile will be charged 4.50. Should your tone not arrive please call customer services 09065989182. From: [colour=red]text[/colour]TXTstar",197,26,1,0,0,thank rington order refer number x mobil charg tone arriv pleas call custom servic colourredtextcolourtxtstar,1
ham,Finally the match heading towards draw as your prediction.,58,9,0,0,0,final match head toward draw predict,0
ham,Dunno lei ü all decide lor. How abt leona? Oops i tot ben is going n i msg him.,79,19,0,0,0,dunno lei decid lor abt leona oop tot ben go n msg,0
ham,"I didnt get ur full msg..sometext is missing, send it again",59,11,0,0,0,didnt get ur full msgsometext miss send,0
ham,No need lar i go engin? Cos my sis at arts today...,51,12,0,0,0,need lar go engin co si art today,0
ham,Good night. Am going to sleep.,30,6,0,0,0,good night go sleep,0
ham,Hi da:)how is the todays class?,31,6,0,0,0,hi dahow today class,0
ham,All e best 4 ur exam later.,27,7,1,0,0,e best ur exam later,0
ham,"The LAY MAN! Just to let you know you are missed and thought off. Do have a great day. And if you can send me bimbo and ugo's numbers, ill appreciate. Safe",155,32,0,0,1,lay man let know miss thought great day send bimbo ugo number ill appreci safe,0
ham,I will spoil you in bed as well :),34,9,0,0,0,spoil bed well,0
ham,"You know, wot people wear. T shirts, jumpers, hat, belt, is all we know. We r at Cribbs",87,18,0,0,0,know wot peopl wear shirt jumper hat belt know r cribb,0
ham,Okay same with me. Well thanks for the clarification,52,9,0,0,0,okay well thank clarif,0
ham,"Tee hee. Off to lecture, cheery bye bye.",40,8,0,0,0,tee hee lectur cheeri bye bye,0
spam,Wanna get laid 2nite? Want real Dogging locations sent direct to ur mobile? Join the UK's largest Dogging Network. Txt PARK to 69696 now! Nyt. ec2a. 3lp £1.50/msg,162,28,1,1,1,wanna get laid nite want real dog locat sent direct ur mobil join uk largest dog network txt park nyt eca lp msg,1
spam,"URGENT! Your Mobile No. was awarded £2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM",156,26,1,1,2,urgent mobil award bonu caller prize final tri contact u call landlin boxwrc ppm,1
ham,One day a crab was running on the sea shore..The waves came n cleared the footprints of the crab.. Crab asked: being my frnd y r u clearing my beautiful footprints? Waves replied: A fox was following ur footprints to catch you! thats y i cleared it off:) frndsship never lets u dwn :-) GUD nyt..,295,56,0,0,1,one day crab run sea shoreth wave came n clear footprint crab crab ask frnd r u clear beauti footprint wave repli fox follow ur footprint catch that clear frndsship never let u dwn gud nyt,0
spam,Congratulations YOU'VE Won. You're a Winner in our August £1000 Prize Draw. Call 09066660100 NOW. Prize Code 2309.,114,18,1,1,0,congratul youv your winner august prize draw call prize code,1
ham,"Hey babe, sorry i didn't get sooner. Gary can come and fix it cause he thinks he knows what it is but he doesn't go as far a Ptbo and he says it will cost  &lt;#&gt;  bucks. I don't know if it might be cheaper to find someone there ? We don't have any second hand machines at all right now, let me know what you want to do babe",327,70,0,0,0,hey babe sorri didnt get sooner gari come fix caus think know doesnt go far ptbo say cost ltgt buck dont know might cheaper find someon dont second hand machin right let know want babe,0
ham,I fetch yun or u fetch?,23,6,0,0,0,fetch yun u fetch,0
ham,I come n pick ü up... Come out immediately aft ur lesson...,59,12,0,0,0,come n pick come immedi aft ur lesson,0
